Hours_Worked_Per_Week,Access_to_Mental_Health_Resources,Work_Life_Balance_Rating,Social_Isolation_Rating,Sleep_Quality,Risk_Score_Raw,Burnout_Risk
79,0,3,2,7,24.599999999999994,1
79,1,1,3,6,56.599999999999994,1
64,0,2,3,6,29.599999999999994,1
60,0,3,2,6,10.0,1
48,1,3,0,9,-58.80000000000001,0
34,0,3,0,7,-54.400000000000006,0
64,0,3,0,5,11.599999999999994,1
20,0,3,1,6,-54.0,0
44,1,1,0,6,-16.400000000000006,0
26,0,3,1,7,-57.6,0
28,1,1,1,5,-18.800000000000004,0
43,1,0,3,6,12.199999999999989,1
20,1,0,1,7,-48.0,0
63,0,2,1,8,-11.800000000000011,0
27,0,1,3,9,-52.2,0
43,0,2,0,7,-35.800000000000004,0
30,1,0,0,6,-30.0,0
70,1,0,2,5,54.0,1
36,0,0,2,8,-29.599999999999994,0
27,1,0,1,5,-14.200000000000003,0
54,0,3,2,5,13.599999999999994,1
54,0,0,3,5,39.599999999999994,1
52,0,3,2,7,-13.200000000000003,0
78,0,3,2,7,23.19999999999999,1
24,0,2,1,9,-78.4,0
61,0,3,3,8,-4.6000000000000085,1
58,0,2,2,5,25.19999999999999,1
77,1,3,0,6,17.799999999999997,1
60,0,3,3,5,30.0,1
47,1,0,3,8,-6.200000000000003,0
26,1,1,1,5,-21.6,0
28,0,3,3,7,-38.800000000000004,0
27,1,1,3,7,-28.200000000000003,0
31,1,1,3,8,-34.599999999999994,0
53,1,1,3,9,-15.800000000000011,0
52,0,3,3,5,18.799999999999997,1
67,0,1,3,8,15.799999999999997,1
74,0,3,3,6,37.599999999999994,1
42,0,0,0,6,-13.200000000000003,0
43,0,3,3,9,-41.80000000000001,0
56,1,2,1,7,-9.600000000000009,0
54,1,0,0,8,-20.400000000000006,0
63,0,1,3,5,46.19999999999999,1
59,1,1,2,8,-3.4000000000000057,1
41,1,2,1,9,-54.599999999999994,0
46,1,0,0,8,-31.60000000000001,0
54,1,2,1,9,-36.400000000000006,0
20,0,1,0,9,-86.0,0
54,0,3,2,9,-34.400000000000006,0
56,0,1,1,8,-15.600000000000009,0
66,1,2,1,6,16.39999999999999,1
33,1,3,0,5,-31.800000000000004,0
22,0,3,0,9,-95.2,0
20,0,1,2,7,-46.0,0
24,1,3,3,9,-68.4,0
45,0,0,0,8,-33.00000000000001,0
74,0,1,0,9,-10.400000000000006,1
33,1,1,0,7,-43.800000000000004,0
58,1,0,2,6,25.19999999999999,1
46,0,1,3,8,-13.600000000000009,0
28,1,2,3,8,-44.800000000000004,0
34,0,2,2,8,-44.400000000000006,0
34,1,1,3,7,-18.400000000000006,0
45,1,0,1,8,-25.0,0
61,0,3,2,6,11.399999999999991,1
79,1,0,0,5,50.599999999999994,1
32,0,2,3,5,-3.200000000000003,1
70,1,1,1,9,-8.0,1
51,0,0,2,5,27.39999999999999,1
58,1,3,2,7,-4.800000000000011,1
68,1,3,0,5,17.19999999999999,1
71,0,3,0,7,-2.6000000000000085,1
80,1,3,2,7,26.0,1
51,0,0,1,9,-28.60000000000001,0
23,1,3,0,5,-45.800000000000004,0
49,1,2,2,9,-35.400000000000006,0
56,0,3,2,8,-19.60000000000001,0
42,1,2,0,6,-25.200000000000003,0
58,1,0,3,5,45.19999999999999,1
64,0,2,1,8,-10.400000000000006,0
34,1,0,3,8,-24.400000000000006,0
62,0,3,3,9,-15.200000000000003,0
48,0,1,1,9,-38.80000000000001,0
55,0,2,1,6,1.0,1
32,1,2,0,6,-39.2,0
51,1,1,0,6,-6.6000000000000085,0
26,0,0,0,6,-35.6,0
78,1,0,1,9,9.199999999999989,1
70,0,3,3,7,20.0,1
41,1,2,1,9,-54.599999999999994,0
47,0,0,0,7,-18.200000000000003,0
21,0,3,3,9,-72.6,0
61,1,0,0,9,-22.60000000000001,1
64,0,1,3,6,35.599999999999994,1
76,0,1,0,7,16.39999999999999,1
72,1,1,1,8,6.799999999999997,1
25,0,3,2,8,-63.0,0
47,0,2,2,8,-26.200000000000003,0
47,1,1,3,6,11.799999999999997,1
63,0,1,1,8,-5.800000000000011,1
63,0,0,0,9,-19.80000000000001,1
39,0,1,3,6,0.5999999999999943,1
49,0,2,3,8,-15.400000000000006,0
30,0,3,0,6,-48.0,0
77,0,1,0,9,-6.200000000000003,1
74,0,3,0,6,13.599999999999994,1
47,0,3,1,8,-40.2,0
44,1,2,2,6,-6.400000000000006,0
58,0,0,3,5,45.19999999999999,1
52,0,0,3,8,0.7999999999999972,1
20,1,3,2,9,-82.0,0
76,0,1,3,7,40.39999999999998,1
46,0,3,1,6,-17.60000000000001,0
76,0,0,0,6,34.39999999999999,1
71,0,1,2,8,13.399999999999991,1
32,0,0,1,8,-43.2,0
60,0,2,0,5,12.0,1
22,1,0,2,9,-61.2,0
58,1,1,1,6,11.199999999999989,1
25,1,1,2,6,-27.0,0
27,1,3,2,7,-48.2,0
46,1,1,1,6,-5.6000000000000085,0
28,0,2,3,6,-20.800000000000004,0
56,0,0,1,5,26.39999999999999,1
52,0,3,2,7,-13.200000000000003,0
70,0,3,2,6,24.0,1
61,0,1,1,6,15.399999999999991,1
63,1,2,0,9,-31.80000000000001,0
43,1,3,0,6,-29.800000000000004,0
34,0,2,0,5,-24.400000000000006,0
78,0,2,0,6,25.19999999999999,1
73,0,0,1,6,38.19999999999999,1
51,1,0,3,8,-0.6000000000000085,1
51,1,0,0,6,-0.6000000000000085,1
43,0,2,2,7,-19.80000000000001,0
60,1,0,0,8,-12.0,1
71,0,3,3,7,21.39999999999999,1
68,1,3,1,7,1.1999999999999886,1
68,1,1,3,5,53.19999999999999,1
77,0,2,3,6,47.80000000000001,1
71,1,0,3,7,39.39999999999999,1
31,1,3,0,6,-46.6,0
58,0,2,0,6,-2.8000000000000114,1
21,1,2,3,5,-18.6,0
22,0,0,1,5,-21.200000000000003,0
68,1,2,0,7,-0.8000000000000114,1
56,0,0,1,7,2.3999999999999915,1
68,0,0,0,8,-0.8000000000000114,1
75,1,0,1,6,41.0,1
36,1,2,0,6,-33.6,0
78,0,2,3,5,61.19999999999999,1
68,1,0,2,5,51.19999999999999,1
21,1,2,2,7,-50.6,0
21,1,0,1,8,-58.6,0
47,0,1,1,8,-28.200000000000003,0
73,0,2,3,5,54.19999999999999,1
42,0,2,3,5,10.799999999999997,1
56,1,1,1,8,-15.600000000000009,0
51,1,1,2,8,-14.600000000000009,0
52,0,1,3,7,6.799999999999997,1
20,0,0,1,8,-60.0,0
38,1,0,3,6,5.199999999999989,1
21,1,3,3,8,-60.6,0
72,1,1,0,9,-13.200000000000003,1
63,1,3,3,8,-1.8000000000000114,1
45,0,0,1,5,11.0,1
51,1,2,3,5,23.39999999999999,1
25,1,1,1,9,-71.0,0
51,0,2,0,6,-12.600000000000009,0
74,0,0,0,8,7.599999999999994,1
23,1,1,2,8,-53.800000000000004,0
74,0,3,0,9,-22.400000000000006,0
30,1,3,0,7,-60.0,0
75,1,0,1,7,29.0,1
78,0,2,2,6,41.19999999999999,1
36,0,0,0,8,-45.6,0
57,1,2,3,8,-4.200000000000003,1
43,0,0,2,8,-19.80000000000001,0
24,1,3,0,5,-44.400000000000006,0
71,1,2,2,7,19.39999999999999,1
53,1,0,0,9,-33.80000000000001,0
25,0,1,1,5,-23.0,0
41,1,3,2,5,-4.599999999999994,1
30,1,3,2,7,-44.0,0
67,1,1,0,8,-8.200000000000003,1
35,0,0,2,6,-7.0,0
52,1,2,0,9,-47.2,0
28,1,3,3,7,-38.800000000000004,0
79,1,0,2,6,54.599999999999994,1
78,0,1,2,7,35.19999999999999,1
25,1,2,1,7,-53.0,0
35,1,0,1,7,-27.0,0
48,0,0,2,7,-0.8000000000000114,1
22,0,3,1,8,-75.2,0
39,1,3,2,5,-7.400000000000006,0
79,1,2,0,7,14.599999999999994,1
78,1,0,2,6,53.19999999999999,1
55,0,1,2,6,15.0,1
38,0,1,3,6,-0.8000000000000114,1
45,1,2,1,5,-1.0,1
22,0,0,1,5,-21.200000000000003,0
38,1,3,3,6,-12.800000000000011,0
39,1,0,0,8,-41.400000000000006,0
51,0,3,0,5,-6.6000000000000085,0
26,1,1,0,5,-29.6,0
71,0,2,3,8,15.399999999999991,1
60,0,2,2,7,4.0,1
52,1,2,0,5,0.7999999999999972,1
59,0,3,0,6,-7.400000000000006,0
58,1,1,3,6,27.19999999999999,1
37,0,1,1,8,-42.2,0
59,1,2,3,6,22.599999999999994,1
20,1,2,1,9,-84.0,0
30,1,3,0,6,-48.0,0
47,0,3,0,8,-48.2,0
76,1,0,2,8,26.39999999999999,1
44,0,3,2,8,-36.400000000000006,0
69,0,0,1,9,-3.4000000000000057,1
42,0,2,0,5,-13.200000000000003,0
50,0,1,0,7,-20.0,0
49,0,3,3,6,2.5999999999999943,1
61,1,1,0,5,19.39999999999999,1
54,0,3,0,8,-38.400000000000006,0
26,1,3,3,5,-17.6,0
79,1,0,3,5,74.6,1
35,0,3,0,9,-77.0,0
45,1,2,2,8,-29.0,0
67,1,1,2,8,7.799999999999997,1
76,0,3,0,6,16.39999999999999,1
71,1,1,2,6,37.39999999999999,1
79,0,1,3,6,56.599999999999994,1
68,0,1,2,6,33.19999999999999,1
21,0,3,0,5,-48.6,0
20,1,0,2,5,-16.0,0
67,1,1,0,6,15.799999999999997,1
31,1,1,2,6,-18.6,0
24,1,3,0,6,-56.400000000000006,0
56,0,3,0,7,-23.60000000000001,0
51,0,2,2,6,3.3999999999999915,1
78,1,2,2,7,29.19999999999999,1
74,0,0,3,6,55.599999999999994,1
28,1,0,1,8,-48.800000000000004,0
60,0,0,0,9,-24.0,1
54,0,0,0,5,15.599999999999994,1
38,0,1,0,8,-48.800000000000004,0
67,0,3,0,9,-32.2,0
35,0,2,2,7,-31.0,0
22,1,1,2,5,-19.200000000000003,0
39,1,3,1,7,-39.400000000000006,0
43,0,3,0,7,-41.800000000000004,0
73,1,1,1,5,44.19999999999999,1
75,0,1,3,9,15.0,1
52,0,2,1,5,8.799999999999997,1
43,0,0,1,6,-3.8000000000000114,1
71,0,0,3,7,39.39999999999999,1
30,1,2,3,6,-18.0,0
68,0,2,1,5,31.19999999999999,1
27,1,0,3,5,1.7999999999999972,1
55,0,1,1,9,-29.0,0
57,0,0,2,7,11.799999999999997,1
59,1,3,2,8,-15.400000000000006,0
39,0,3,1,5,-15.400000000000006,0
54,0,2,3,8,-8.400000000000006,0
67,1,0,3,7,33.8,1
44,1,0,2,6,5.599999999999994,1
54,1,3,2,7,-10.400000000000006,0
44,0,0,3,9,-22.400000000000006,0
48,0,2,3,8,-16.80000000000001,0
37,1,2,3,8,-32.2,0
65,1,3,3,6,25.0,1
37,0,0,1,6,-12.200000000000003,0
21,0,0,3,5,-6.600000000000001,0
73,1,3,2,7,16.19999999999999,1
54,1,1,2,9,-22.400000000000006,0
35,1,1,0,5,-17.0,0
80,1,0,3,7,52.0,1
60,0,2,1,6,8.0,1
55,0,1,0,9,-37.0,0
52,0,0,0,6,0.7999999999999972,1
23,0,1,1,6,-37.800000000000004,0
52,1,3,0,8,-41.2,0
33,0,1,0,7,-43.800000000000004,0
40,1,1,2,5,6.0,1
67,0,3,0,8,-20.200000000000003,0
39,0,2,1,7,-33.400000000000006,0
75,0,0,3,7,45.0,1
27,1,2,3,7,-34.2,0
26,0,2,3,9,-59.6,0
22,1,1,2,8,-55.2,0
36,1,0,2,5,6.400000000000006,1
52,0,1,2,8,-13.200000000000003,0
67,1,3,1,6,11.799999999999997,1
31,0,2,3,7,-28.599999999999994,0
78,1,2,1,6,33.19999999999999,1
70,0,3,1,8,-8.0,0
41,1,0,0,5,-2.6000000000000014,1
74,1,2,3,6,43.599999999999994,1
41,0,2,0,6,-26.6,0
65,0,0,2,9,-1.0,1
49,0,1,2,8,-17.400000000000006,0
57,0,3,1,6,-2.200000000000003,1
57,1,0,1,8,-8.200000000000003,0
64,1,3,0,5,11.599999999999994,1
70,1,3,0,6,8.0,1
73,1,2,1,5,38.19999999999999,1
27,0,0,3,6,-10.200000000000003,0
46,1,3,1,7,-29.60000000000001,0
46,0,1,3,9,-25.60000000000001,0
53,1,3,0,9,-51.80000000000001,0
40,0,2,2,9,-48.0,0
49,0,1,2,5,18.599999999999994,1
52,0,1,0,8,-29.200000000000003,0
47,0,0,0,9,-42.2,0
66,0,1,2,6,30.39999999999999,1
52,1,0,3,6,24.799999999999997,1
24,0,0,0,7,-50.400000000000006,0
79,1,1,3,5,68.6,1
80,1,0,3,6,64.0,1
67,0,0,2,6,37.8,1
38,1,1,3,7,-12.800000000000011,0
23,1,2,2,7,-47.800000000000004,0
54,1,3,0,8,-38.400000000000006,0
68,0,0,1,8,7.199999999999989,1
36,0,0,1,8,-37.6,0
63,0,1,1,6,18.19999999999999,1
47,0,3,1,7,-28.200000000000003,0
49,1,3,1,5,-1.4000000000000057,1
48,1,0,1,8,-20.80000000000001,0
65,1,1,3,9,1.0,1
72,1,2,3,6,40.8,1
25,1,3,1,5,-35.0,0
54,1,2,0,6,-8.400000000000006,0
79,0,1,0,8,8.599999999999994,1
60,1,2,3,6,24.0,1
56,1,1,3,8,0.3999999999999915,1
43,1,0,1,6,-3.8000000000000114,1
48,0,2,0,8,-40.80000000000001,0
68,1,0,2,7,27.19999999999999,1
65,1,0,1,7,15.0,1
72,0,1,3,7,34.8,1
50,1,2,3,7,-2.0,1
54,0,3,3,7,-2.4000000000000057,1
79,0,2,2,9,6.599999999999994,1
52,1,3,0,6,-17.200000000000003,0
71,1,0,3,7,39.39999999999999,1
80,0,0,1,9,12.0,1
40,1,1,2,9,-42.0,0
51,1,3,0,6,-18.60000000000001,0
42,0,2,1,6,-17.200000000000003,0
52,0,1,1,8,-21.200000000000003,0
22,1,1,2,8,-55.2,0
37,0,1,2,7,-22.200000000000003,0
44,1,2,2,5,5.599999999999994,1
61,1,1,3,8,7.3999999999999915,1
50,1,2,0,5,-2.0,1
73,1,1,3,8,24.19999999999999,1
77,0,3,2,9,-2.200000000000003,1
22,1,0,2,9,-61.2,0
59,0,3,2,9,-27.400000000000006,0
65,1,3,3,5,37.0,1
43,1,1,1,7,-21.80000000000001,0
69,0,3,2,8,-1.4000000000000057,1
51,1,3,3,8,-18.60000000000001,0
66,0,3,2,5,30.39999999999999,1
41,0,1,3,9,-32.599999999999994,0
42,1,2,0,7,-37.2,0
21,1,0,0,8,-66.6,0
46,1,0,3,7,4.3999999999999915,1
61,1,2,2,7,5.3999999999999915,1
21,0,2,3,6,-30.6,0
45,1,3,0,7,-39.00000000000001,0
36,1,0,3,6,2.4000000000000057,1
59,1,2,0,5,10.599999999999994,1
52,1,3,0,9,-53.2,0
28,1,0,1,6,-24.800000000000004,0
62,0,1,2,7,12.799999999999997,1
73,1,1,3,9,12.199999999999989,1
67,0,0,2,7,25.799999999999997,1
58,1,0,2,7,13.199999999999989,1
48,1,1,0,6,-10.800000000000011,0
61,1,1,0,5,19.39999999999999,1
74,0,0,3,7,43.599999999999994,1
45,1,3,3,6,-3.0,1
54,0,2,3,7,3.5999999999999943,1
69,0,2,0,9,-23.400000000000006,0
44,1,0,1,5,9.599999999999994,1
43,0,2,3,7,-11.800000000000011,0
32,1,1,0,5,-21.200000000000003,0
79,1,1,1,5,52.599999999999994,1
77,0,2,2,9,3.799999999999997,1
26,1,0,0,9,-71.6,0
76,1,1,3,8,28.399999999999977,1
55,0,3,3,5,23.0,1
64,0,3,1,7,-4.400000000000006,1
39,0,1,1,9,-51.400000000000006,0
20,0,1,0,7,-62.0,0
27,0,2,1,5,-26.200000000000003,0
65,0,0,0,9,-17.0,1
35,1,2,1,8,-51.0,0
33,0,0,2,5,2.1999999999999957,1
31,0,3,3,7,-34.599999999999994,0
70,1,3,3,8,8.0,1
42,1,0,2,5,14.799999999999997,1
34,0,2,3,9,-48.400000000000006,0
47,0,1,3,5,23.799999999999997,1
53,1,0,3,6,26.19999999999999,1
21,0,2,3,7,-42.6,0
51,0,3,2,9,-38.60000000000001,0
42,1,1,0,9,-55.2,0
41,0,3,3,6,-8.599999999999994,0
70,1,0,2,8,18.0,1
44,0,3,3,9,-40.400000000000006,0
77,1,3,2,8,9.799999999999997,1
80,1,0,2,8,32.0,1
41,1,1,0,8,-44.6,0
77,0,0,1,5,55.8,1
77,1,2,0,6,23.799999999999997,1
41,0,0,0,7,-26.6,0
68,1,0,3,6,47.19999999999999,1
71,1,1,2,9,1.3999999999999915,1
61,1,2,1,6,9.399999999999991,1
25,0,3,2,7,-51.0,0
34,0,3,3,5,-6.400000000000006,0
73,1,3,2,9,-7.800000000000011,0
62,0,3,3,5,32.8,1
79,0,1,0,9,-3.4000000000000057,1
56,0,2,0,7,-17.60000000000001,0
52,1,1,3,5,30.799999999999997,1
27,0,0,0,7,-46.2,0
72,1,2,2,7,20.799999999999997,1
79,1,2,1,6,34.599999999999994,1
63,1,3,1,9,-29.80000000000001,0
63,0,3,2,8,-9.800000000000011,0
24,1,3,1,8,-72.4,0
58,0,3,2,5,19.19999999999999,1
23,0,0,3,7,-27.800000000000004,0
25,1,3,1,6,-47.0,0
64,1,1,3,9,-0.4000000000000057,1
51,1,2,3,5,23.39999999999999,1
71,0,0,2,7,31.39999999999999,1
49,0,0,1,8,-19.400000000000006,0
66,1,2,0,8,-15.600000000000009,0
54,1,2,0,9,-44.400000000000006,0
74,0,2,0,9,-16.400000000000006,0
59,0,0,0,9,-25.400000000000006,1
71,1,1,2,5,49.39999999999999,1
35,0,1,3,9,-41.0,0
32,0,2,1,5,-19.200000000000003,0
69,0,0,2,6,40.599999999999994,1
79,0,3,0,7,8.599999999999994,1
61,0,0,1,8,-2.6000000000000085,1
49,0,2,2,5,12.599999999999994,1
38,1,0,3,7,-6.800000000000011,0
36,0,0,0,9,-57.6,0
75,1,0,1,8,17.0,1
38,1,3,1,5,-16.800000000000004,0
47,0,2,0,9,-54.2,0
77,1,2,3,7,35.80000000000001,1
74,1,2,0,6,19.599999999999994,1
45,1,1,3,7,-3.0,1
56,0,1,1,5,20.39999999999999,1
45,1,2,0,6,-21.000000000000007,0
72,0,0,3,6,52.8,1
42,1,0,3,9,-25.200000000000003,0
28,1,2,2,7,-40.800000000000004,0
31,1,3,3,5,-10.599999999999994,0
72,1,3,0,6,10.799999999999997,1
20,0,0,0,9,-80.0,0
77,1,0,3,6,59.80000000000001,1
77,1,1,0,7,17.799999999999997,1
20,0,3,1,8,-78.0,0
66,0,0,1,5,40.39999999999999,1
53,0,0,0,8,-21.80000000000001,0
51,1,2,3,7,-0.6000000000000085,1
73,0,1,1,8,8.199999999999989,1
67,0,3,3,7,15.799999999999997,1
44,0,3,0,7,-40.400000000000006,0
59,0,1,2,9,-15.400000000000006,1
64,0,0,1,8,1.5999999999999943,1
72,0,3,0,6,10.799999999999997,1
20,1,3,1,7,-66.0,0
35,0,3,3,8,-41.0,0
80,1,2,2,6,44.0,1
58,0,1,2,5,31.19999999999999,1
24,0,3,0,6,-56.400000000000006,0
41,0,1,1,8,-36.599999999999994,0
48,1,0,2,8,-12.800000000000011,0
74,0,1,1,6,33.599999999999994,1
22,0,2,3,6,-29.200000000000003,0
31,0,2,3,7,-28.599999999999994,0
45,0,1,0,8,-39.00000000000001,0
35,1,2,2,7,-31.0,0
70,1,3,2,7,12.0,1
56,1,2,1,5,14.399999999999991,1
41,1,0,3,8,-14.599999999999994,0
76,1,1,2,7,32.39999999999999,1
48,0,1,0,5,1.1999999999999886,1
33,0,0,0,7,-37.800000000000004,0
47,0,0,2,7,-2.200000000000003,1
24,1,0,0,8,-62.400000000000006,0
66,0,0,2,6,36.39999999999999,1
68,1,3,2,6,21.19999999999999,1
49,0,2,2,8,-23.400000000000006,0
65,1,2,2,6,23.0,1
71,0,3,1,9,-18.60000000000001,0
24,0,0,2,6,-22.400000000000006,0
31,0,1,0,7,-46.6,0
35,0,1,3,7,-17.0,0
45,1,1,1,5,5.0,1
45,0,0,3,8,-9.0,0
67,0,3,3,5,39.8,1
40,0,3,3,7,-22.0,0
58,1,3,3,7,3.1999999999999886,1
55,0,2,3,5,29.0,1
52,0,2,0,9,-47.2,0
49,0,2,2,6,0.5999999999999943,1
56,0,2,0,9,-41.60000000000001,0
42,0,1,1,9,-47.2,0
77,1,1,0,9,-6.200000000000003,1
29,1,3,1,9,-77.4,0
73,1,2,2,6,34.19999999999999,1
24,0,3,3,8,-56.400000000000006,0
55,1,0,2,5,33.0,1
53,0,2,0,9,-45.80000000000001,0
71,0,2,0,9,-20.60000000000001,0
50,0,3,2,5,8.0,1
29,0,3,2,5,-21.400000000000006,0
77,1,0,0,8,11.799999999999997,1
38,1,3,2,7,-32.80000000000001,0
77,1,2,1,8,7.799999999999997,1
51,0,1,1,7,-10.600000000000009,0
20,1,0,0,6,-44.0,0
75,1,0,0,8,9.0,1
24,0,2,2,6,-34.400000000000006,0
64,1,1,2,5,39.599999999999994,1
23,0,3,3,8,-57.800000000000004,0
35,1,3,1,5,-21.0,0
43,1,1,0,9,-53.800000000000004,0
35,1,1,0,5,-17.0,0
74,0,2,0,9,-16.400000000000006,0
21,1,3,0,7,-72.6,0
68,1,2,3,9,-0.8000000000000114,1
47,1,3,1,7,-28.200000000000003,0
51,1,3,3,9,-30.60000000000001,0
46,0,1,1,9,-41.60000000000001,0
39,0,2,0,6,-29.400000000000006,0
43,1,1,1,6,-9.800000000000011,0
31,1,2,0,5,-28.6,0
69,1,3,3,6,30.599999999999994,1
54,0,0,1,7,-0.4000000000000057,1
79,1,0,2,6,54.599999999999994,1
52,1,2,1,5,8.799999999999997,1
52,0,2,0,8,-35.2,0
80,0,1,2,7,38.0,1
70,0,3,0,8,-16.0,0
62,1,0,2,7,18.799999999999997,1
56,0,1,2,5,28.39999999999999,1
31,0,2,1,6,-32.6,0
22,1,3,1,8,-75.2,0
20,0,1,2,8,-58.0,0
52,1,1,2,6,10.799999999999997,1
59,1,2,2,5,26.599999999999994,1
29,0,3,0,6,-49.400000000000006,0
62,1,0,1,9,-13.200000000000003,1
63,0,1,0,9,-25.80000000000001,1
48,0,2,1,9,-44.80000000000001,0
32,0,1,3,8,-33.2,0
31,1,2,0,8,-64.6,0
50,0,2,1,5,6.0,1
65,1,2,2,7,11.0,1
21,1,3,2,6,-44.6,0
80,1,0,1,7,36.0,1
70,0,3,2,8,0.0,1
69,1,0,2,6,40.599999999999994,1
54,1,2,3,8,-8.400000000000006,0
42,0,0,3,5,22.799999999999997,1
36,0,3,3,6,-15.599999999999994,0
45,1,1,0,8,-39.00000000000001,0
27,1,3,3,9,-64.2,0
48,0,3,3,9,-34.80000000000001,0
45,1,3,3,8,-27.0,0
29,1,3,1,7,-53.400000000000006,0
45,1,3,2,5,1.0,1
53,1,0,1,5,22.19999999999999,1
70,0,0,3,8,26.0,1
60,1,1,0,5,18.0,1
26,0,3,1,6,-45.6,0
23,1,3,3,5,-21.800000000000004,0
77,0,1,0,9,-6.200000000000003,1
72,1,1,0,8,-1.2000000000000028,1
69,0,2,0,6,12.599999999999994,1
64,1,1,2,5,39.599999999999994,1
30,0,1,0,9,-72.0,0
48,1,1,3,7,1.1999999999999886,1
